Código Expediente;Distrito;Barrio;Día de la Semana;Año;Mes;Nombre Mes;Día del Mes;Hora del Día;Turno;Tipo de Accidente
2018S007906;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;Jueves;2018;10;Octubre;18;9;Mañana;Col.lisió lateral
2018S007907;Eixample;la Dreta de l'Eixample;Jueves;2018;10;Octubre;18;13;Mañana;Atropellament
2018S007908;Sants-Montjuïc;la Marina del Prat Vermell;Jueves;2018;10;Octubre;18;14;Tarde;Xoc contra element estàtic
2018S007909;Ciutat Vella;la Barceloneta;Jueves;2018;10;Octubre;18;15;Tarde;Abast multiple
2018S007910;Horta-Guinardó;Can Baró;Jueves;2018;10;Octubre;18;13;Mañana;Xoc contra element estàtic
2018S007911;Horta-Guinardó;la Vall d'Hebron;Jueves;2018;10;Octubre;18;14;Tarde;Abast
2018S007912;Eixample;Sant Antoni;Jueves;2018;10;Octubre;18;19;Tarde;Atropellament
2018S007913;Eixample;l'Antiga Esquerra de l'Eixample;Jueves;2018;10;Octubre;18;15;Tarde;Col.lisió lateral
2018S007914;Sants-Montjuïc;Hostafrancs;Jueves;2018;10;Octubre;18;14;Tarde;Caiguda (dues rodes)
2018S007915;Sant Martí;Sant Martí de Provençals;Jueves;2018;10;Octubre;18;15;Tarde;Caiguda (dues rodes)
2018S007916;Sants-Montjuïc;la Bordeta;Jueves;2018;10;Octubre;18;16;Tarde;Atropellament
2018S007916;Sants-Montjuïc;la Bordeta;Jueves;2018;10;Octubre;18;16;Tarde;Caiguda (dues rodes)
2018S007917;Eixample;el Fort Pienc;Miércoles;2018;10;Octubre;10;9;Mañana;Col.lisió lateral
2018S007918;Gràcia;el Camp d'en Grassot i Gràcia Nova;Jueves;2018;10;Octubre;18;18;Tarde;Col.lisió lateral
2018S007919;Sant Martí;el Parc i la Llacuna del Poblenou;Jueves;2018;10;Octubre;18;16;Tarde;Abast
2018S007920;Sant Andreu;la Trinitat Vella;Jueves;2018;10;Octubre;18;14;Tarde;Xoc contra element estàtic
2018S007921;Sant Andreu;Sant Andreu;Jueves;2018;10;Octubre;18;20;Tarde;Col.lisió fronto-lateral
2018S007922;Gràcia;el Camp d'en Grassot i Gràcia Nova;Jueves;2018;10;Octubre;18;18;Tarde;Abast
2018S007923;Eixample;la Dreta de l'Eixample;Jueves;2018;10;Octubre;18;18;Tarde;Col.lisió fronto-lateral
2018S007924;Eixample;l'Antiga Esquerra de l'Eixample;Jueves;2018;10;Octubre;18;15;Tarde;Col.lisió lateral
2018S007924;Eixample;l'Antiga Esquerra de l'Eixample;Jueves;2018;10;Octubre;18;15;Tarde;Abast
2018S007925;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;Jueves;2018;10;Octubre;18;20;Tarde;Abast multiple
2018S007926;Sarrià-Sant Gervasi;les Tres Torres;Jueves;2018;10;Octubre;18;19;Tarde;Col.lisió lateral
2018S007927;Eixample;l'Antiga Esquerra de l'Eixample;Jueves;2018;10;Octubre;18;18;Tarde;Abast
2018S007928;Gràcia;la Vila de Gràcia;Jueves;2018;10;Octubre;18;23;Noche;Atropellament
2018S007929;Eixample;la Dreta de l'Eixample;Jueves;2018;10;Octubre;18;22;Noche;Col.lisió fronto-lateral
2018S007930;Sant Martí;Sant Martí de Provençals;Viernes;2018;10;Octubre;19;2;Noche;Abast
2018S007931;Eixample;la Nova Esquerra de l'Eixample;Jueves;2018;10;Octubre;18;17;Tarde;Abast
2018S007932;Eixample;la Dreta de l'Eixample;Viernes;2018;10;Octubre;19;8;Mañana;Col.lisió fronto-lateral
2018S007933;Les Corts;Pedralbes;Viernes;2018;10;Octubre;19;8;Mañana;Col.lisió lateral
2018S007934;Sant Martí;el Parc i la Llacuna del Poblenou;Viernes;2018;10;Octubre;19;9;Mañana;Xoc contra element estàtic
2018S007935;Eixample;la Nova Esquerra de l'Eixample;Viernes;2018;10;Octubre;19;11;Mañana;Col.lisió lateral
2018S007936;Eixample;l'Antiga Esquerra de l'Eixample;Jueves;2018;10;Octubre;18;15;Tarde;Caiguda (dues rodes)
2018S007937;Eixample;l'Antiga Esquerra de l'Eixample;Viernes;2018;10;Octubre;19;11;Mañana;Abast
2018S007938;Nou Barris;Porta;Viernes;2018;10;Octubre;19;11;Mañana;Col.lisió fronto-lateral
2018S007939;Eixample;Sant Antoni;Viernes;2018;10;Octubre;19;13;Mañana;Col.lisió fronto-lateral
2018S007940;Eixample;el Fort Pienc;Viernes;2018;10;Octubre;19;12;Mañana;Col.lisió lateral
2018S007941;Eixample;la Sagrada Família;Viernes;2018;10;Octubre;19;14;Tarde;Abast
2018S007942;Eixample;Sant Antoni;Viernes;2018;10;Octubre;19;15;Tarde;Col.lisió lateral
2018S007943;Sant Andreu;el Bon Pastor;Viernes;2018;10;Octubre;19;13;Mañana;Col.lisió fronto-lateral
2018S007944;Ciutat Vella;la Barceloneta;Viernes;2018;10;Octubre;19;14;Tarde;Abast
2018S007945;Nou Barris;Canyelles;Viernes;2018;10;Octubre;19;14;Tarde;Col.lisió lateral
2018S007946;Sant Andreu;el Bon Pastor;Viernes;2018;10;Octubre;19;16;Tarde;Col.lisió lateral
2018S007947;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;Viernes;2018;10;Octubre;19;18;Tarde;Atropellament
2018S007948;Les Corts;les Corts;Viernes;2018;10;Octubre;19;17;Tarde;Col.lisió lateral
2018S007949;Eixample;l'Antiga Esquerra de l'Eixample;Viernes;2018;10;Octubre;19;17;Tarde;Caiguda (dues rodes)
2018S007949;Eixample;l'Antiga Esquerra de l'Eixample;Viernes;2018;10;Octubre;19;17;Tarde;Col.lisió lateral
2018S007950;Sant Martí;el Poblenou;Viernes;2018;10;Octubre;19;18;Tarde;Abast
2018S007950;Sant Martí;el Poblenou;Viernes;2018;10;Octubre;19;18;Tarde;Abast multiple
2018S007951;Sant Andreu;la Trinitat Vella;Viernes;2018;10;Octubre;19;20;Tarde;Abast multiple
2018S007952;Sant Andreu;Navas;Viernes;2018;10;Octubre;19;17;Tarde;Caiguda interior vehicle
2018S007953;Sarrià-Sant Gervasi;Sarrià;Viernes;2018;10;Octubre;19;18;Tarde;Abast
2018S007954;Eixample;la Sagrada Família;Viernes;2018;10;Octubre;19;17;Tarde;Col.lisió fronto-lateral
2018S007955;Ciutat Vella;la Barceloneta;Viernes;2018;10;Octubre;19;18;Tarde;Col.lisió fronto-lateral
2018S007956;Eixample;Sant Antoni;Viernes;2018;10;Octubre;19;16;Tarde;Caiguda interior vehicle
2018S007957;Sant Martí;el Besòs i el Maresme;Viernes;2018;10;Octubre;19;19;Tarde;Abast
2018S007958;Sants-Montjuïc;Hostafrancs;Viernes;2018;10;Octubre;19;22;Noche;Caiguda (dues rodes)
2018S007958;Sants-Montjuïc;Hostafrancs;Viernes;2018;10;Octubre;19;22;Noche;Col.lisió lateral
2018S007959;Gràcia;Vallcarca i els Penitents;Viernes;2018;10;Octubre;19;20;Tarde;Col.lisió lateral
2018S007960;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;Viernes;2018;10;Octubre;19;21;Tarde;Abast
2018S007960;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;Viernes;2018;10;Octubre;19;21;Tarde;Col.lisió fronto-lateral
2018S007961;Nou Barris;la Prosperitat;Viernes;2018;10;Octubre;19;22;Noche;Col.lisió fronto-lateral
2018S007962;Sant Andreu;Navas;Viernes;2018;10;Octubre;19;17;Tarde;Col.lisió fronto-lateral
2018S007963;Sant Andreu;Baró de Viver;Viernes;2018;10;Octubre;19;22;Noche;Xoc contra element estàtic
2018S007964;Les Corts;la Maternitat i Sant Ramon;Viernes;2018;10;Octubre;19;21;Tarde;Atropellament
2018S007965;Nou Barris;la Prosperitat;Sábado;2018;10;Octubre;20;0;Noche;Abast multiple
2018S007966;Les Corts;les Corts;Viernes;2018;10;Octubre;19;20;Tarde;Col.lisió lateral
2018S007967;Sant Martí;la Vila Olímpica del Poblenou;Sábado;2018;10;Octubre;20;3;Noche;Atropellament
2018S007968;Horta-Guinardó;la Vall d'Hebron;Sábado;2018;10;Octubre;20;0;Noche;Abast
2018S007969;Nou Barris;Vallbona;Sábado;2018;10;Octubre;20;5;Noche;Bolcada (més de dues rodes)
2018S007969;Nou Barris;Vallbona;Sábado;2018;10;Octubre;20;5;Noche;Xoc contra element estàtic
2018S007970;Eixample;la Sagrada Família;Sábado;2018;10;Octubre;20;9;Mañana;Col.lisió lateral
2018S007971;Eixample;Sant Antoni;Sábado;2018;10;Octubre;20;13;Mañana;Caiguda (dues rodes)
2018S007972;Nou Barris;Verdun;Sábado;2018;10;Octubre;20;13;Mañana;Abast
2018S007973;Eixample;l'Antiga Esquerra de l'Eixample;Sábado;2018;10;Octubre;20;13;Mañana;Col.lisió lateral
2018S007974;Sants-Montjuïc;la Marina del Prat Vermell;Sábado;2018;10;Octubre;20;14;Tarde;Col.lisió lateral
2018S007975;Eixample;l'Antiga Esquerra de l'Eixample;Sábado;2018;10;Octubre;20;14;Tarde;Col.lisió lateral
2018S007976;Gràcia;el Camp d'en Grassot i Gràcia Nova;Sábado;2018;10;Octubre;20;14;Tarde;Col.lisió lateral
2018S007977;Eixample;el Fort Pienc;Sábado;2018;10;Octubre;20;14;Tarde;Col.lisió fronto-lateral
2018S007978;Nou Barris;Canyelles;Sábado;2018;10;Octubre;20;15;Tarde;Col.lisió fronto-lateral
2018S007979;Sant Martí;Provençals del Poblenou;Sábado;2018;10;Octubre;20;15;Tarde;Col.lisió fronto-lateral
2018S007980;Horta-Guinardó;Horta;Sábado;2018;10;Octubre;20;16;Tarde;Abast
2018S007981;Sant Martí;Sant Martí de Provençals;Sábado;2018;10;Octubre;20;18;Tarde;Abast
2018S007982;Eixample;l'Antiga Esquerra de l'Eixample;Sábado;2018;10;Octubre;20;18;Tarde;Atropellament
2018S007983;Eixample;el Fort Pienc;Sábado;2018;10;Octubre;20;14;Tarde;Caiguda (dues rodes)
2018S007984;Eixample;la Nova Esquerra de l'Eixample;Sábado;2018;10;Octubre;20;18;Tarde;Abast
2018S007984;Eixample;la Nova Esquerra de l'Eixample;Sábado;2018;10;Octubre;20;18;Tarde;Col.lisió lateral
2018S007985;Sant Martí;el Camp de l'Arpa del Clot;Sábado;2018;10;Octubre;20;18;Tarde;Col.lisió lateral
2018S007986;Sant Martí;Provençals del Poblenou;Sábado;2018;10;Octubre;20;18;Tarde;Atropellament
2018S007987;Sant Martí;el Camp de l'Arpa del Clot;Sábado;2018;10;Octubre;20;14;Tarde;Col.lisió fronto-lateral
2018S007988;Les Corts;les Corts;Sábado;2018;10;Octubre;20;22;Noche;Col.lisió lateral
2018S007989;Sant Martí;el Besòs i el Maresme;Sábado;2018;10;Octubre;20;20;Tarde;Abast
2018S007990;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;Sábado;2018;10;Octubre;20;23;Noche;Col.lisió fronto-lateral
2018S007991;Sant Andreu;Sant Andreu;Domingo;2018;10;Octubre;21;0;Noche;Abast
2018S007992;Eixample;la Dreta de l'Eixample;Domingo;2018;10;Octubre;21;8;Mañana;Col.lisió fronto-lateral
2018S007993;Sants-Montjuïc;el Poble-sec;Domingo;2018;10;Octubre;21;9;Mañana;Col.lisió lateral
2018S007994;Eixample;la Dreta de l'Eixample;Domingo;2018;10;Octubre;21;9;Mañana;Atropellament
2018S007995;Sants-Montjuïc;el Poble-sec;Domingo;2018;10;Octubre;21;10;Mañana;Abast
2018S007996;Horta-Guinardó;Sant Genís dels Agudells;Domingo;2018;10;Octubre;21;12;Mañana;Xoc contra element estàtic
2018S007997;Eixample;la Dreta de l'Eixample;Domingo;2018;10;Octubre;21;12;Mañana;Bolcada (més de dues rodes)
2018S007998;Gràcia;la Vila de Gràcia;Sábado;2018;10;Octubre;20;18;Tarde;Atropellament
2018S007999;Ciutat Vella;el Barri Gòtic;Domingo;2018;10;Octubre;21;16;Tarde;Abast
2018S008000;Eixample;la Dreta de l'Eixample;Domingo;2018;10;Octubre;21;16;Tarde;Col.lisió lateral
2018S008001;Ciutat Vella;la Barceloneta;Sábado;2018;10;Octubre;20;16;Tarde;Atropellament
2018S008002;Sarrià-Sant Gervasi;les Tres Torres;Domingo;2018;10;Octubre;21;18;Tarde;Caiguda (dues rodes)
2018S008003;Eixample;la Dreta de l'Eixample;Domingo;2018;10;Octubre;21;19;Tarde;Col.lisió fronto-lateral
2018S008004;Eixample;el Fort Pienc;Domingo;2018;10;Octubre;21;20;Tarde;Abast
2018S008005;Sant Andreu;el Bon Pastor;Domingo;2018;10;Octubre;21;17;Tarde;Atropellament
2018S008006;Eixample;la Nova Esquerra de l'Eixample;Domingo;2018;10;Octubre;21;21;Tarde;Col.lisió fronto-lateral
2018S008007;Gràcia;el Camp d'en Grassot i Gràcia Nova;Domingo;2018;10;Octubre;21;22;Noche;Xoc contra element estàtic
2018S008008;Ciutat Vella;la Barceloneta;Domingo;2018;10;Octubre;21;23;Noche;Col.lisió frontal
2018S008009;Sant Martí;el Poblenou;Lunes;2018;10;Octubre;22;0;Noche;Abast
2018S008010;Nou Barris;la Trinitat Nova;Lunes;2018;10;Octubre;22;0;Noche;Atropellament
2018S008011;Sant Andreu;Sant Andreu;Domingo;2018;10;Octubre;21;22;Noche;Atropellament
2018S008013;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;Lunes;2018;10;Octubre;22;4;Noche;Xoc contra element estàtic
2018S008014;Les Corts;Pedralbes;Lunes;2018;10;Octubre;22;6;Mañana;Abast multiple
2018S008015;Sants-Montjuïc;la Marina del Prat Vermell;Lunes;2018;10;Octubre;22;7;Mañana;Col.lisió fronto-lateral
